Pays,Disponibilité alimentaire,Exportations,Importations,Consommation,Production,Nombre d'habitants,Evolution de la population (en %) entre 2000 et 2018,PIB,Stabilité politique
Slovénie,24.41,29.0,20.0,51.0,72.0,2076393.0,4.533844606651752,36507.6,0.87
Soudan,1.6,132.1851851851852,2.0,65.0,67.0,40813397.0,24.876089671964035,4598.9,-1.98
Sri Lanka,7.78,2.0,0.0,164.0,192.0,21128032.0,13.05364833345857,12584.1,-0.07
Suisse,15.72,4.0,51.0,133.0,91.0,8455804.0,19.343452279548544,69103.6,1.26
Suriname,31.06,5.0,18.0,18.0,10.0,570496.0,22.304113608904576,18283.7,0.13
Suède,16.6,23.0,84.0,164.0,157.0,9904896.0,12.272485712098216,51948.0,0.98
Sénégal,4.76,0.0,0.0,73.0,77.0,15419355.0,61.81622199582066,3203.9,-0.05
Tadjikistan,4.45,132.1851851851852,38.0,39.0,2.0,8880268.0,46.401798099557276,3252.9,-0.67
Tchad,0.45,0.0,1.0,7.0,6.0,15016753.0,85.23659548372873,1587.0,-1.29
Tchéquie,21.96,27.0,116.0,234.0,163.0,10641034.0,3.65721021096232,38824.9,1.0
Thaïlande,12.95,796.0,2.0,896.0,1676.0,69209810.0,10.286797812234791,17423.0,-0.75
Timor-Leste,4.24,132.1851851851852,11.0,5.0,1.0,1243258.0,43.37661104113003,3177.5,0.07
Togo,7.06,0.0,16.0,54.0,40.0,7698474.0,60.204081632653065,2012.2,-0.88
Trinité-et-Tobago,54.54,0.0,23.0,75.0,61.0,1384059.0,9.68233512448773,27277.9,0.28
Tunisie,17.03,4.0,0.0,195.0,213.0,11433443.0,19.126329396859404,11234.5,-1.02
Turkménistan,4.52,132.1851851851852,9.0,26.0,20.0,5757667.0,29.55555117619432,14205.0,-0.13
Turquie,20.64,429.0,3.0,1674.0,2192.0,81116450.0,30.202143276157567,27913.8,-1.79
Ukraine,22.62,273.0,121.0,1006.0,1211.0,44487709.0,-9.402315591332295,11860.6,-1.87
Uruguay,9.12,3.0,3.0,31.0,33.0,3436641.0,3.9023886236736893,23009.9,1.05
Vanuatu,11.66,132.1851851851852,4.0,3.0,1.0,285510.0,58.22935363190105,3081.5,0.7
Venezuela (République bolivarienne du),20.28,0.0,25.0,596.0,600.0,29402484.0,19.405528486040645,17605.0,-1.27
Viet Nam,12.33,1.0,291.0,1166.0,918.0,94600648.0,19.566348875788552,8996.4,0.23
Yémen,8.53,0.0,78.0,237.0,168.0,27834819.0,63.70018459341199,2507.0,-2.94
Zambie,3.42,1.0,12.0,58.0,49.0,16853599.0,66.5879540058971,3485.0,0.15
Zimbabwe,4.68,132.1851851851852,6.0,67.0,69.0,14236595.0,21.523628754236533,3795.6,-0.71
Égypte,12.96,1.0,110.0,1250.0,1118.0,96442591.0,42.99195974939462,11014.5,-1.42
Émirats arabes unis,43.47,94.0,433.0,412.0,48.0,9487203.0,207.29956841951434,67183.6,0.62
Équateur,19.31,0.0,0.0,324.0,340.0,16785361.0,34.72275286660337,11617.9,-0.07
États-Unis d'Amérique,55.68,3692.0,123.0,18100.0,21914.0,325084756.0,16.110613593597115,59914.8,0.29
Éthiopie,0.13,132.1851851851852,1.0,14.0,14.0,106399924.0,64.92976559054821,2021.6,-1.68
Îles Salomon,4.45,0.0,6.0,3.0,0.0,636039.0,58.20699849755246,2663.5,0.2
